KEYID,Height,NFloor,MainUse,TFA,FA_R,FA_O,FA_C,FA_H,FA_L,Str,TRA,RA_G,RA_PV,RA_O,Shape_Leng,Age,Shape_Length,Shape_Area,uq_visitors,t_visits,stride_avg,tile_sqm,GFArea,KFArea,footsteps,EnergyDaily_J,EnergyDaily_kWh,EnergyYearly_kWh,Coverage_pct,KFloor_10p,KFloor_25p,KFloor_50p,KFloor_75p,KFloor_90p,Energy_10p_kWh,Energy_25p_kWh,Energy_50p_kWh,Energy_75p_kWh,Energy_90p_kWh
143,38.5,11,Resid,2961.737479,24,3,73,0,0,RC,269.2488618,0,0,100,91.46130952,2000,91.44726498,269.1682547,18,19,1.2,0.25,269.2488618,269.2488618,4264,21315.53489,0.005920982,2.161158399,100,26.92488618,67.31221544,134.6244309,201.9366463,242.3239756,0.000592098,0.001480245,0.002960491,0.004440736,0.005328884
144,24.5,7,Office,1916.785234,0,75,25,0,0,RC,273.826462,0,0,100,75.62274372,1987,75.6112339,273.7429899,7,7,1.2,0.25,273.826462,273.826462,1598,7986.605141,0.002218501,0.809753021,100,27.3826462,68.4566155,136.913231,205.3698465,246.4438158,0.00022185,0.000554625,0.001109251,0.001663876,0.001996651
145,7,2,Others,88.91980388,0,100,0,0,0,W,44.45990194,0,0,100,26.70023886,1977,26.69632292,44.44686371,2,2,1.2,0.25,44.45990194,44.45990194,74,370.4991828,0.000102916,0.0375645,100,4.445990194,11.11497549,22.22995097,33.34492646,40.01391175,1.02916E-05,2.57291E-05,5.14582E-05,7.71873E-05,9.26248E-05
146,17.5,5,Office,1040.050363,0,100,0,0,0,RC,208.0100725,0,0,100,65.11284597,1985,65.10282558,207.9473626,18,20,1.2,0.25,208.0100725,208.0100725,3466,17334.17271,0.004815048,1.757492511,100,20.80100725,52.00251813,104.0050363,156.0075544,187.2090653,0.000481505,0.001203762,0.002407524,0.003611286,0.004333543
147,24.5,7,Office,1478.995415,0,70,30,0,0,RC,211.2850592,0,0,100,58.07151163,1998,58.06265465,211.22067,32,34,1.2,0.25,211.2850592,211.2850592,5986,29932.05006,0.008314458,3.034777297,100,21.12850592,52.82126481,105.6425296,158.4637944,190.1565533,0.000831446,0.002078615,0.004157229,0.006235844,0.007483013
148,24.5,7,Office,2757.809371,0,90,10,0,0,RC,393.9727672,0,0,100,81.14501551,2009,81.13288387,393.8543459,108,122,1.2,0.25,393.9727672,393.9727672,40054,200269.49,0.055630414,20.30510107,100,39.39727672,98.4931918,196.9863836,295.4795754,354.5754905,0.005563041,0.013907603,0.027815207,0.04172281,0.050067373
149,17.5,5,Office,1125.076299,0,100,0,0,0,RC,225.0152599,0,0,100,59.5116158,1981,59.50251723,224.9467639,36,41,1.2,0.25,225.0152599,225.0152599,7688,38440.10689,0.010677807,3.897399727,100,22.50152599,56.25381496,112.5076299,168.7614449,202.5137339,0.001067781,0.002669452,0.005338904,0.008008356,0.009610027
150,17.5,5,Office,303.3611974,0,60,40,0,0,RC,60.67223948,0,0,100,37.66147316,1981,37.65570079,60.65380147,3,3,1.2,0.25,60.67223948,60.67223948,152,758.4029935,0.000210667,0.076893637,100,6.067223948,15.16805987,30.33611974,45.50417961,54.60501553,2.10667E-05,5.26669E-05,0.000105334,0.000158001,0.000189601
151,14,4,Resid,260.4743989,100,0,0,0,0,S,65.11859973,0,0,100,38.50678067,1997,38.50098329,65.09925209,3,3,1.2,0.25,65.11859973,65.11859973,162,813.9824967,0.000226106,0.082528781,100,6.511859973,16.27964993,32.55929987,48.8389498,58.60673976,2.26106E-05,5.65266E-05,0.000113053,0.00016958,0.000203496
152,17.5,5,Office,375.7745164,0,100,0,0,0,S,75.15490328,0,0,100,34.67929207,1981,34.67416926,75.13271141,10,10,1.2,0.25,75.15490328,75.15490328,626,3131.454303,0.000869848,0.317494672,100,7.515490328,18.78872582,37.57745164,56.36617746,67.63941295,8.69848E-05,0.000217462,0.000434924,0.000652386,0.000782864
